,freq,lbd,S,aux,idl
347,177056857115655.88,1.6931988e-06,-54.9050636,,
348,177058906700483.9,1.6931792e-06,-55.8748002,,
349,177060956332763.9,1.6931596e-06,-56.9420406,,
350,177063006012497.5,1.69314e-06,-54.6527939,,
351,177065055739686.3,1.6931204e-06,-55.3793361,,
352,177067105514332.03,1.6931008e-06,-56.3860818,,
353,177069155336436.3,1.6930812e-06,-56.6950367,,
354,177071205206000.78,1.6930616e-06,-55.3167534,,
355,177073255123027.06,1.693042e-06,-55.8596862,,
356,177075305087516.84,1.6930224e-06,-54.7292371,,
357,177077355099471.78,1.6930028e-06,-56.2057194,,
358,177079405158893.5,1.6929832e-06,-54.9482488,,
359,177081455265783.62,1.6929636e-06,-54.9934159,,
360,177083505420143.84,1.692944e-06,-55.4531344,,
361,177085555621975.8,1.6929244e-06,-56.5863009,,
362,177087605871281.12,1.6929048e-06,-55.2630771,,
363,177089656168061.47,1.6928852e-06,-55.6451134,,
364,177091706512318.5,1.6928656e-06,-54.5716205,,
365,177093756904053.9,1.692846e-06,-57.960923,,
366,177095807343269.22,1.6928264e-06,-56.9453801,,
367,177097857829966.2,1.6928068e-06,-56.97393,,
368,177099908364146.4,1.6927872e-06,-59.6997916,,
369,177101958945811.6,1.6927676e-06,-55.2348774,,
370,177104009574963.3,1.692748e-06,-55.005043,,
371,177106060251603.28,1.6927284e-06,-54.5910682,,
372,177108110975733.1,1.6927088e-06,-54.2513697,,
373,177110161747354.47,1.6926892e-06,-56.065005,,
374,177112212566468.97,1.6926696e-06,-54.9669484,,
375,177114263433078.3,1.69265e-06,-56.5595626,,
376,177116314347184.12,1.6926304e-06,-61.1939255,,
377,177118365308788.06,1.6926108e-06,-55.3077934,,
378,177120416317891.78,1.6925912e-06,-56.2078977,,
379,177122467374496.88,1.6925716e-06,-54.4352147,,
380,177124518478605.1,1.692552e-06,-56.3206876,,
381,177126569630218.0,1.6925324e-06,-55.4600729,,
382,177128620829337.3,1.6925128e-06,-56.1698792,,
383,177130672075964.62,1.6924932e-06,-55.8245325,,
384,177132723370101.6,1.6924736e-06,-54.6962603,,
385,177134774711749.9,1.692454e-06,-55.7448509,,
386,177136826100911.22,1.6924344e-06,-55.8142332,,
387,177138877537587.12,1.6924148e-06,-55.494763,,
388,177140929021779.3,1.6923952e-06,-56.3162829,,
389,177142980553489.4,1.6923756e-06,-56.9466045,,
390,177145032132719.12,1.692356e-06,-55.8743677,,
391,177147083759470.03,1.6923364e-06,-54.6785522,,
392,177149135433743.84,1.6923168e-06,-55.7834682,,
393,177151187155542.2,1.6922972e-06,-55.3195862,,
394,177153238924866.72,1.6922776e-06,-58.3663475,,
395,177155290741719.06,1.692258e-06,-57.1694212,,
396,177157342606100.88,1.6922384e-06,-55.7396575,,
397,177159394518013.84,1.6922188e-06,-56.7348889,,
398,177161446477459.62,1.6921992e-06,-55.3825122,,
399,177163498484439.84,1.6921796e-06,-57.3222564,,
400,177165550538956.12,1.69216e-06,-56.4378059,,
401,177167602641010.16,1.6921404e-06,-58.7736636,,
