freq,lbd,S,aux,idl,mu
390224688124791.75,7.68256e-07,-75.0,,,105.14851804697247
390226719878373.25,7.68252e-07,-75.0,,,105.15055541753723
390228751653112.06,7.68248e-07,-75.0,,,105.1525928093178
390230783449008.5,7.68244e-07,-75.0,,,105.1546302223145
390232815266062.7,7.6824e-07,-75.0,,,105.15666765652742
390234847104275.25,7.68236e-07,-75.0,,,105.15870511195722
390236878963646.4,7.68232e-07,-75.0,,,105.16074258860408
390238910844176.5,7.68228e-07,-75.0,,,105.16278008646843
390240942745865.75,7.68224e-07,-75.0,,,105.16481760555041
390242974668714.7,7.6822e-07,-75.0,,,105.16685514585056
390245006612723.5,7.68216e-07,-75.0,,,105.1688927073691
390247038577892.56,7.68212e-07,-75.0,,,105.17093029010638
390249070564222.2,7.68208e-07,-75.0,,,105.17296789406272
390251102571712.7,7.68204e-07,-75.0,,,105.17500551923845
390253134600364.5,7.682e-07,-75.0,,,105.17704316563399
390255166650177.8,7.68196e-07,-75.0,,,105.17908083324953
390257198721153.06,7.68192e-07,-75.0,,,105.18111852208551
390259230813290.5,7.68188e-07,-75.0,,,105.1831562321422
390261262926590.5,7.68184e-07,-75.0,,,105.18519396341993
390263295061053.4,7.6818e-07,-75.0,,,105.18723171591905
390265327216679.5,7.68176e-07,-75.0,,,105.18926948963994
390267359393469.2,7.68172e-07,-75.0,,,105.19130728458289
390269391591422.75,7.68168e-07,-75.0,,,105.19334510074823
390271423810540.5,7.68164e-07,-75.0,,,105.19538293813628
390273456050822.75,7.6816e-07,-75.0,,,105.19742079674732
390275488312269.94,7.68156e-07,-75.0,,,105.19945867658183
390277520594882.3,7.68152e-07,-71.8108364,,,105.20149657764001
390279552898660.2,7.68148e-07,-71.2489381,,,105.20353449992223
390281585223603.9,7.68144e-07,-70.4087996,,,105.20557244342878
390283617569713.8,7.6814e-07,-70.3497337,,,105.20761040816008
390285649936990.3,7.68136e-07,-70.8387997,,,105.20964839411647
390287682325433.6,7.68132e-07,-70.9757331,,,105.21168640129818
390289714735044.1,7.68128e-07,-71.3713895,,,105.21372442970561
390291747165822.2,7.68124e-07,-71.4869458,,,105.21576247933912
390293779617768.06,7.6812e-07,-74.5893935,,,105.21780055019896
390295812090882.1,7.68116e-07,-75.0,,,105.2198386422855
390297844585164.6,7.68112e-07,-75.0,,,105.22187675559901
390299877100616.06,7.68108e-07,-75.0,,,105.22391489013998
390301909637236.6,7.68104e-07,-75.0,,,105.2259530459086
390303942195026.7,7.681e-07,-75.0,,,105.22799122290523
390305974773986.56,7.68096e-07,-75.0,,,105.23002942113021
390308007374116.6,7.68092e-07,-75.0,,,105.2320676405839
390310039995417.2,7.68088e-07,-75.0,,,105.23410588126664
390312072637888.56,7.68084e-07,-75.0,,,105.2361441431787
